"gene","mean_rela","steepness_rela","skewness_rela"
"FOB1",1.24135338385832,1.05153945177121,-0.0545188221725046
"TOR1",1.23122313317905,0.963155665023236,-0.467464212176091
"SIR2",0.537186462820261,1.21982565321364,6.05268885007738
"RPL20B",1.39590106777409,0.92628551054009,-0.458865249979987
"SCH9",1.38382140340473,0.859930592145063,-1.06456900116857
"GCN4",1.04519286629315,1.06251096299023,0.852372612596774
"UBR2",1.43468166782445,0.802901587636293,-2.07993570492915
"RPN4",0.580813782007473,1.51397480607827,2.37590556495252
"SGF73",1.56956524232446,0.987660539314656,-0.984435641878671
"LOS1",1.20970096295602,0.885796558497312,-0.362243050337814
"AFG3",0.98369975944333,1.18326155954273,1.15129965607345
"GCN2",0.998743056982553,1.03968550643644,0.679673280510119
"HAP4",0.946003905076441,1.19379230030322,0.932065062741129
"YAP1",0.819110004199308,1.39465995034612,1.2255229080792
"ATG1",1.05967428717754,1.09615375284976,0.864194629340056
"PMR1",0.924561285303606,1.28705888913718,2.02572294168378
"PHB1",0.541369643988439,1.12572108970044,2.26214286316617
"SOD2",1.02153704747555,1.26927044628206,-0.294274509354033
"ATG13",1.10856133306205,1.03552445337711,0.381779492233221
"PNC1",1.08606778051018,0.995361547304932,-0.0523504593124687
"HXK2",1.28291598238476,1.09233123070601,1.69965521244355
"PHB2",0.562371214048152,1.18000225621647,2.66849736556744
"HAC1",1.089768897598,0.992117079267439,0.264710764856103
"GPR1",1.360702896408,0.920073540673785,-1.1505318612345
"HMO1",0.724404225939367,1.1279066269585,2.76437788178712
"GPA2",1.24467934954564,0.970837640456975,0.400348280754333
"RPL31A",1.29441701856361,1.18288083987349,0.284996621161838
"SOK1",1.42135679984332,0.889206947069112,-1.30509951859444
"UBP8",1.34689843096479,0.922368078984282,-1.35885625511385
"IDH2",1.16689366700713,1.05588748173638,0.296806106226689
"RPL6B",1.29055065742817,0.941562802393772,-0.346899161943756
"MUB1",1.27595245555042,1.04989612518485,-0.152055224356238
"ISW2",1.13068139276068,1.01548808968396,1.24584687303766
"MRPL49",0.838200226734606,1.4373380622709,2.69521384279709
"RIP1",0.799517392135131,1.44236550528554,1.49991072006181
"RTG2",0.975462677297716,1.34243243137427,3.30136178034156
"RPL22A",1.39164436652061,1.02593671935362,-0.185487962313736
"SPT4",1.41074257086738,0.974567337051625,-1.61130222245672
"SIS2",1.43816156528383,0.878888052027841,-1.10760534882401
"TIF1",1.14900186752484,1.00550592485958,0.294577557437727
"ALG12",1.20123857564631,0.821985091548961,-0.977039107686021
"RPL9A",1.26760826735408,0.999619308112382,-0.0156649376574244
"WHI5",0.92763533355526,1.16043644284099,1.6638461364787
"IDH1",1.2815218579091,0.922383804343951,-0.574171044273054
"MAF1",1.1192072623001,1.03198631556342,1.04927543970551
"CYT1",0.913702539681018,1.26641144097698,1.37333184215052
"RPL19A",1.46768936990191,0.864576396484451,-0.687769045788084
"INP51",1.18242703164409,0.959588626035158,-0.150207477438337
"PKH2",1.1408286521729,0.968417015400061,-0.352912271125609
"INP53",1.20718558351196,1.02444162349999,-0.154584449200078
"SOD1",0.100623817023666,2.45986179160209,6.90488803167659
"SAM1",1.26903686527809,0.985376161592532,-0.154414465062414
"CAF20",1.09968638138467,1.01312721477082,0.540872794893808
"IDP1",1.12389954424149,1.04202291186053,-0.145544109041531
"PMC1",1.18594718280719,0.855327605349611,-1.47191375040507
"VMA21",0.173325800018315,3.11768004429127,7.65926413982776
"ADH1",0.982134875977989,1.6985385498666,0.431126841199489
"SAS2",1.22913251062975,0.985776462464018,-0.878357777984839
"TOM1",1.25291440701249,0.948972198321067,-0.146407576296059
"SIR3",0.830071597221594,0.91855789793743,1.49944789005678
"TIF2",1.23711456756755,0.911377191469349,-0.600380024246527
"RAD52",0.409526146749023,1.69580869129665,4.38410072002883
"PIB1",1.23749824668119,1.03340882999385,0.408748711714124
"RAS2",0.874506884117929,1.16702378619955,0.909916713436268
"ADH5",1.03264685186018,1.08168160983628,0.363675108515509
"VMS1",1.12587495830881,1.0695240256415,0.402468666320252
"MRPL32",1.00154171606286,1.06953894689117,0.0228993746729714
"EAP1",0.571199300556972,1.84997523773405,1.5734959172926
"DBP3",1.21426417974821,0.905636256355711,0.127320027349254
"DLT1",1.1809546215213,1.22251035345555,-0.602895627017952
"PKH3",1.14168662030464,0.985363319487178,-1.15995125129966
"RFX1",1.05945256968016,0.847060277941416,-0.569058947442088
"SNF1",1.11947925956345,1.23068269959546,1.06880275323836
"PMT1",1.26318608129659,1.05241478003756,0.980479457357824
"HRD1",1.25940995737044,0.926343174927924,-0.0221421522774984
"PDA1",0.703048467228147,1.26832133589743,2.77546289652911
"RTG1",0.97283256316312,1.48338505828976,3.82068496641389
"HSE1",1.12293210203651,1.10532771462852,-0.403774908239496
"YGR130C",0.954041407850522,1.27663501939659,1.21668635137198
"MRPL4",0.945425013478246,1.58691639110535,1.45099789563195
"PKH1",1.25271415398555,0.874791780694338,0.0941964889392062
"BUG1",1.39945696013238,0.915395975194394,-0.46232874026224
"LYS12",0.986019784700657,1.26014021431567,3.34211544530706
"RPL19B",1.29604745790683,0.946232570487934,-0.512826176921503
"SAP185",1.15532727605635,1.09599965959694,0.575076087486247
"DER1",1.27832729005612,0.955795125097878,-0.900704782422718
"IRE1",0.975947928110826,0.89467351922433,-0.707690107854081
"SPT8",1.16077501454341,1.08632717662744,0.449501513191527
"TIF4631",1.11969253598783,1.01930073060033,-0.015013190392038
"PMT3",1.09050862171925,1.00189615341563,0.730662743934513
